Nb;CostH1yr;CostMRR1yr;CostYRR1yr;CostH3yr;CostMRR3yr;CostYRR3yr1yr;CostYRR3yr;ODH;ODMRR;ODYRR;SnapG/M;gp2G/M;gp3G/M;io1G/M;st1G/M;s3<50T;s3<450T;s3>500T;glacierG/M;Ec2Type;CPU;RAM;SAPS;Hana;S/4;BW/4;PROD;OS;Region Code;Region Name
81;0,2764;201,74;2420,92;0,1985;144,91;1738,86;5216,59;0,4791;349,77;4197,26;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.2xlarge;8;32;11269;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
82;0,5245;382,87;4594,5;0,3679;268,57;3222,89;9668,68;0,8727;637,08;7645;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.4xlarge;16;64;22538;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
83;1,0199;744,51;8934,16;0,7084;517,16;6205,94;18617,83;1,6599;1211,71;14540,49;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.8xlarge;32;128;45077;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
84;0,0898;65,58;786,99;0,071;51,84;622,09;1866,28;0,1463;106,81;1281,66;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.large;2;8;2817;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
85;3,004;2192,94;26315,3;2,0689;1510,26;18123,15;54369,46;4,8085;3510,21;42122,46;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.metal;96;384;142000;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
86;0,1523;111,18;1334,13;0,1129;82,45;989,35;2968,06;0,2447;178,63;2143,6;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m5.xlarge;4;16;5535;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
87;1,4572;1063,79;12765,43;1,0102;737,48;8849,76;26549,29;2,2323;1629,56;19554,72;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m6a.12xlarge;48;192;72555;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
88;1,9259;1405,89;16870,65;1,3316;972,06;11664,77;34994,32;2,9407;2146,72;25760,66;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m6a.16xlarge;64;256;96740;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
89;2,8631;2090,09;25081,08;1,9743;1441,23;17294,79;51884,38;4,3576;3181,05;38172,55;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m6a.24xlarge;96;384;145110;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
90;0,2857;208,53;2502,31;0,2069;151,02;1812,24;5436,72;0,4612;336,65;4039,86;0,0462;0,1018;0,0815;0,1275;0,0462;0,021;0,0201;0,0193;0,0035;m6a.2xlarge;8;32;12093;0;0;0;0;SUSE;eu-central-1;Europe (Frankfurt)
